trip_id;arrival_time;departure_time;stop_id;stop_sequence;pickup_type;drop_off_type;rechercheNom;rechercheLat;rechercheLon
T1 s2;0,322222222;0,322222222;200439;1;;;CHU Charles Nicolle;49.4397347375;1.111076809
T1 s2;0,322222222;0,322222222;201390;2;;;Martainville;49.4381501385;1.105452671
T1 s2;0,322916667;0,322916667;201729;3;;;Saint-Marc;49.438066882;1.1017075277
T1 s2;0,324305556;0,324305556;201848;4;;;République;49.4392431644;1.0964027339
T1 s2;0,325;0,325;200350;5;;;Cathédrale;49.4397421656;1.0916514526
T1 s2;0,326388889;0,326388889;202186;6;;;Théâtre des Arts;49.4404080976;1.0891554194
T1 s2;0,327083333;0,327083333;200174;7;;;Belges;49.4407111358;1.0828657157
T1 s2;0,328472222;0,328472222;201649;8;;;Pasteur;49.4434611412;1.076929066
T1 s2;0,329861111;0,329861111;201335;9;;;Luciline;49.4465105719;1.0704470062
T1 s2;0,334027778;0,334027778;201860;10;;;Mont-Riboudet;49.4490252686;1.064404613
T1 s2;0,334722222;0,334722222;200881;11;;;Fond du Val;49.4517156175;1.0686380114
T1 s2;0,338194444;0,338194444;200319;12;;;Campus;49.4586402554;1.0680384341
T1 s2;0,339583333;0,339583333;200529;13;;;Place Colbert;49.461322639;1.0711006276
T1 s2;0,339583333;0,339583333;200555;14;;;Les Coquets;49.4624590168;1.0766684
T1 s2;0,341666667;0,341666667;201533;15;;;Mont aux Malades;49.4652153975;1.0722268419
T1 s1;0,573611111;0,573611111;201532;1;;;Mont aux Malades;49.4651343218;1.0722055843
T1 s1;0,574305556;0,574305556;200554;2;;;Les Coquets;49.4624135339;1.0766143878
T1 s1;0,575694444;0,575694444;200528;3;;;Place Colbert;49.461403471;1.0710986297
T1 s1;0,576388889;0,576388889;200318;4;;;Campus;49.4586414854;1.0679419304
T1 s1;0,578472222;0,578472222;200880;5;;;Fond du Val;49.4518431361;1.0685904995
T1 s1;0,58125;0,58125;201859;6;;;Mont-Riboudet;49.4488440749;1.0651118569
T1 s1;0,581944444;0,581944444;201334;7;;;Luciline;49.4464290147;1.0703801294
T1 s1;0,582638889;0,582638889;201648;8;;;Pasteur;49.4434153694;1.0768475251
T1 s1;0,583333333;0,583333333;200173;9;;;Belges;49.4406121954;1.0828543604
T1 s1;0,585416667;0,585416667;202185;10;;;Théâtre des Arts;49.4403001762;1.0891442708
T1 s1;0,586111111;0,586111111;200349;11;;;Cathédrale;49.4395437008;1.0924415479
T1 s1;0,5875;0,5875;201847;12;;;République;49.4390385208;1.0974684827
T1 s1;0,588194444;0,588194444;201728;13;;;Saint-Marc;49.4379687903;1.1017787737
T1 s1;0,588194444;0,588194444;201389;14;;;Martainville;49.4380883934;1.1055643652
T1 s1;0,590277778;0,590277778;200438;15;;;CHU Charles Nicolle;49.4393008256;1.1099299579
